1,2,3,4,5,6,7,8,9,10,11,12,13,14
7.72,37,124.26,3.66,3.41,0.2536,27.43926829,0.435,1.575714286,60.32738095,6.131579483,15.82402098,85.99,1
9.17,77,121.36,7.8,4.1,4.7898,29.81151943,0.373038869,1.874487633,170.0271378,2.046075682,21.8880885,96.16,1
9.17,52,121.36,2,0.74,1.7242,29.44885906,0.617905405,0.9503125,115.7072483,3.67476227,19.93216928,96.27,1
9.17,30,121.36,4.42,1.99,5.966,21.5407177,0.600382775,1.380095694,285.4545455,12.74281528,31.20189028,97.7,1
9.17,52,121.36,3.15,2.64,1.2274,29.85141892,0.405918367,0.717586207,82.91641892,2.79798859,17.11600408,85.25,1
7.72,40,124.26,7,11.18,0.6585,29.38409091,0.620454545,3.8,299.2986364,2.643438704,18.4285398,90.02,1
9.17,58,121.36,10.47,1.48,1.4809,24.80487395,0.432352941,0.690588235,124.4330252,10.61361357,28.19543903,90,1
9.17,44,121.36,2,3.48,0.1333,26.8545,0.481,0.666,69.15,4.975770213,11.92008825,75.11,1
9.17,55,121.36,3.21,3.02,3.734,28.94461929,0.521522843,1.38071066,189.565533,4.185264905,13.27363053,97.84,1
7.72,84,124.26,0,2.58,2.5208,22.20503906,0.339960938,1.720507813,98.46875,12.29190188,26.47509406,91.9,1
6.98,48,125.74,0,12.19,1.5692,28.30140845,0.496619718,1.836197183,222.9859155,5.702843726,7.551534016,37.7,1
6.2,50,127.3,0,1.03,7.2341,28.50811594,0.902086957,2.238434783,209.684058,5.848533625,34.56845243,97.8,1
7.72,140,124.26,8.89,2.94,6.4247,19.41916667,0.327808765,0.863864542,69.69488095,13.99579713,42.30446803,99.99,1
7,53,132,3.33,2.16,9.3438,25.16616,0.702654691,1.517884232,186.497505,10.25367097,37.56217313,100,1
7.72,51,124.26,9.64,2.29,11.5426,28.877725,1.036175,1.690825,288.6232,4.60799959,20.88825346,98.52,1
7.72,69,124.26,4.12,0.02,0.401,27.48714286,0.4012,1.987,80.157,6.550485669,12.82462247,100,1
8.05,67,161.7,5.54,1.84,9.5472,28.69008475,0.446062323,1.897932011,325.4161602,5.67347511,25.91564287,97.8,1
7.72,33,124.26,11.66,10.52,2.2845,29.62981481,0.46,2.204259259,211.525,1.978433715,2.392193944,97.87,1
9.17,32,121.36,8.69,3.86,3.4289,28.60709677,0.317556561,1.274615385,155.2006335,5.490890044,15.71315629,98.49,1
9.17,60,121.36,6.79,9.42,0.5177,28.28588235,1.123529412,4.488235294,315.1764706,6.280130431,17.84487074,77.4,1
7.72,62,124.26,0,2.81,0.0885,20.76375,0.56625,1.9,110.625,9.481173733,33.57208662,95.5,1
7.72,40,124.26,4.04,0.97,1.2289,29.42071429,0.364017857,1.156696429,109.8103571,4.245204972,11.91713302,98.51,1
9.17,32,121.36,3.19,4.47,1.9901,29.09286713,0.778321678,2.861818182,139.3862238,3.790851965,14.908169,98.96,1
9.17,46,121.36,2.42,5.35,1.9336,28.95833333,0.390454545,1.044545455,292.9748485,4.714721489,9.143392443,96.1,1
7.72,49,124.26,6.87,4.13,1.4127,29.4338,0.548039216,1.099313725,139.0717647,3.807583284,17.78161265,92.33,1
9.17,133,121.36,4.42,5.97,0.4292,28.87588235,0.48875,2.040625,252.4705882,3.220516377,15.40100511,77.4,1
7.72,39,124.26,7.83,2.23,0.7817,28.48980392,0.306666667,5.324117647,76.63401961,5.545123802,17.21293416,98.09,1
9.17,30,121.36,3.23,6.88,2.5231,29.77450549,0.430769231,1.652527473,277.2712088,3.146632508,21.62991154,93.34,1
7.7,29,124.26,10.57,2.34,7.7261,27.31058252,0.825873786,2.337912621,375.0533981,7.156576621,27.68888756,92.8,1
7.72,108,124.26,0,20.19,3.7367,28.13285714,1.057619048,3.184126984,600.6825397,6.53214889,16.41833457,56.9,1
7.72,67,124.26,1.27,0.36,0.3287,28.84571429,0.475,1.177857143,78.25214286,5.030309666,13.75785803,94.01,1
7.72,51,124.26,1.63,4.14,1.246,29.38696429,0.401785714,0.8925,222.4489286,3.130413809,12.17452407,66.22,1
9.17,60,121.36,3.95,3.62,14.8314,26.91911765,0.624934641,2.633660131,484.6862745,7.705198641,28.59283125,90.4,1
7.72,55,124.26,6.22,7.43,1.2204,28.27511628,0.18627907,0.317529412,142.1331395,4.877709623,10.25311127,98.06,1
7.72,43,124.26,2.2,1.13,1.245,28.33858156,0.319432624,0.439858156,88.57787234,6.41003004,20.47130975,96.5,1
9.17,90,121.36,3.72,3.8,2.6105,29.0915,0.5204,1.835,261.0544,4.566515896,33.26295297,88.04,1
9.17,40,121.36,4.94,12.34,3.1797,29.53941176,0.599705882,2.568088235,467.6033824,2.366767985,6.186561294,92.92,1
7.72,32,124.26,4.59,4.49,0.5115,28.40064516,0.306129032,2.261612903,168.2903226,5.924387977,18.95258959,99.99,1
6.5,73,82.25,7.1,1.58,0.0463,23.2075,0.46375,1.7825,59.5,10.99905418,19.08372437,93.18,1
8,92,130,10.82,5.64,11.3942,28.70934659,0.645227273,1.835369318,323.6988636,5.514423757,35.24012034,98.7,1
9.17,96,121.36,0,8.04,2.9098,28.49112903,0.471774194,2.162580645,471.6774194,5.384039286,13.56182467,92.2,1
9.17,33,121.36,3.95,2.1,0.0076,16.115,0.475,1.875,38,6.908433252,2.142533547,66.67,1
9.17,27,121.36,3.98,4.81,0.2157,27.69909091,1.089090909,3.038181818,196.0909091,7.101151251,7.136730471,20.29,1
9.17,40,121.36,9.62,2.39,0.2137,27.36705882,0.464705882,2.457058824,128.1764706,7.360043108,7.444715605,96.28,1
9.17,32,121.36,9.95,4.84,1.9941,29.82495495,0.259770992,0.839083969,152.2306107,2.874595268,4.513441314,95.54,1
7.52,56,111.95,8.26,8.03,12.6277,28.74836788,0.604559585,1.953393782,327.1374093,5.320124857,23.26989946,97.32,1
9.17,39,121.36,9.8,6.86,3.4956,29.91504587,0.468440367,2.07440367,320.7388073,1.822271488,8.065220953,94.82,1
9.17,143,121.36,0,7.75,1.3105,25.763,1.101666667,2.401666667,436.8333333,8.357129993,16.89271624,75,1
6.98,58,125.74,0,4.69,3.0847,26.36027778,0.422530864,1.091820988,94.91049383,8.289477174,22.78619888,95.7,1
